Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Waste Management Issue at Ward 4, Central Zone - 605","Complaint regarding waste management in Ward 4, Central Zone.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Ward 4, Central Zone for a week.","Ward 4, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-11-10,In Progress
"Sanitation Issue at Ward 9, Central Zone - 673","Complaint regarding sanitation in Ward 9, Central Zone.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Ward 9, Central Zone.","Ward 9, Central Zone",Low,evidence_17.jpg,Assigned to Health & Family Welfare team.,2025-06-30,Resolved
"Waste Management Issue at Garden City, Phase 3 - 127","Complaint regarding waste management in Garden City, Phase 3.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Garden City, Phase 3.","Garden City, Phase 3",Urgent,evidence_18.jpg,Assigned to Sanitation Department team.,2025-09-30,New
"Waste Management Issue at Garden City, Phase 3 - 539","Complaint regarding waste management in Garden City, Phase 3.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Garden City, Phase 3.","Garden City, Phase 3",Medium,None,Assigned to Sanitation Department team.,2025-12-01,Resolved
"Roads & Infrastructure Issue at Garden City, Phase 4 - 780","Complaint regarding roads & infrastructure in Garden City, Phase 4.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Garden City, Phase 4.","Garden City, Phase 4",Medium,None,Assigned to Public Works Department (PWD) team.,2025-03-24,Escalated
"Electricity Issue at Ward 3, Central Zone - 126","Complaint regarding electricity in Ward 3, Central Zone.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Urban Development Authority team.,2026-02-07,Resolved
"Waste Management Issue at Garden City, Phase 3 - 993","Complaint regarding waste management in Garden City, Phase 3.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Garden City, Phase 3.","Garden City, Phase 3",High,None,Assigned to Municipal Corporation team.,2025-08-07,New
"Roads & Infrastructure Issue at Sector 16, Heritage Colony - 164","Complaint regarding roads & infrastructure in Sector 16, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Sector 16, Heritage Colony.","Sector 16, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-07-20,New
"Education Issue at Ward 8, Central Zone - 226","Complaint regarding education in Ward 8, Central Zone.",Education,Education Department,"Lack of pure drinking water facilities in Ward 8, Central Zone primary school.","Ward 8, Central Zone",Low,None,Assigned to Education Department team.,2025-07-20,Escalated
"Electricity Issue at Sector 16, Heritage Colony - 965","Complaint regarding electricity in Sector 16, Heritage Colony.",Electricity,Electricity Board,"Frequent power cuts without notice in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",High,None,Assigned to Electricity Board team.,2025-03-08,Resolved
"Public Safety Issue at Sector 18, Heritage Colony - 944","Complaint regarding public safety in Sector 18, Heritage Colony.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Sector 18, Heritage Colony after 9 PM.","Sector 18, Heritage Colony",High,evidence_26.jpg,Assigned to Municipal Corporation team.,2025-11-12,In Progress
"Education Issue at Ward 3, Central Zone - 780","Complaint regarding education in Ward 3, Central Zone.",Education,Urban Development Authority,"Illegal encroachments near the playground of Ward 3, Central Zone school.","Ward 3, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-04-20,New
"Public Safety Issue at Ward 7, Central Zone - 425","Complaint regarding public safety in Ward 7, Central Zone.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Ward 7, Central Zone.","Ward 7, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2026-01-28,In Progress
"Roads & Infrastructure Issue at Ward 1, Central Zone - 218","Complaint regarding roads & infrastructure in Ward 1, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Major potholes on the main road of Ward 1, Central Zone.","Ward 1, Central Zone",Medium,evidence_29.jpg,Assigned to Public Works Department (PWD) team.,2026-01-09,In Progress
"Street Lighting Issue at Ward 3, Central Zone - 313","Complaint regarding street lighting in Ward 3, Central Zone.",Street Lighting,Electricity Board,"Street lights not working for 37 nights in Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Electricity Board team.,2025-12-09,New
"Water Supply Issue at Garden City, Phase 3 - 796","Complaint regarding water supply in Garden City, Phase 3.",Water Supply,Public Works Department (PWD),"Contaminated water with foul smell reported at Garden City, Phase 3.","Garden City, Phase 3",High,evidence_31.jpg,Assigned to Public Works Department (PWD) team.,2025-06-10,Resolved
"Public Safety Issue at Sector 15, Heritage Colony - 480","Complaint regarding public safety in Sector 15, Heritage Colony.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-06-25,Escalated
"Roads & Infrastructure Issue at Sector 11, Heritage Colony - 194","Complaint regarding roads & infrastructure in Sector 11, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Street pavement broken near Sector 11, Heritage Colony.","Sector 11, Heritage Colony",High,None,Assigned to Urban Development Authority team.,2025-05-30,In Progress
"Electricity Issue at Ward 1, Central Zone - 928","Complaint regarding electricity in Ward 1, Central Zone.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Ward 1, Central Zone.","Ward 1, Central Zone",Medium,evidence_34.jpg,Assigned to Electricity Board team.,2025-09-14,Resolved
"Street Lighting Issue at Sector 13, Heritage Colony - 884","Complaint regarding street lighting in Sector 13, Heritage Colony.",Street Lighting,Municipal Corporation,"Street lights not working for 40 nights in Sector 13, Heritage Colony.","Sector 13, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-09-02,Resolved
"Electricity Issue at Sector 18, Heritage Colony - 339","Complaint regarding electricity in Sector 18, Heritage Colony.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Low,evidence_36.jpg,Assigned to Urban Development Authority team.,2025-10-29,Escalated
"Drainage Issue at Garden City, Phase 1 - 291","Complaint regarding drainage in Garden City, Phase 1.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Garden City, Phase 1.","Garden City, Phase 1",Low,None,Assigned to Municipal Corporation team.,2025-12-22,New
"Healthcare Issue at Sector 16, Heritage Colony - 554","Complaint regarding healthcare in Sector 16, Heritage Colony.",Healthcare,Municipal Corporation,"Unsanitary conditions in the ward area of Sector 16, Heritage Colony hospital.","Sector 16, Heritage Colony",Urgent,evidence_38.jpg,Assigned to Municipal Corporation team.,2025-07-22,In Progress
"Water Supply Issue at Sector 19, Heritage Colony - 585","Complaint regarding water supply in Sector 19, Heritage Colony.",Water Supply,Public Works Department (PWD),"Low pressure water being received at Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Public Works Department (PWD) team.,2026-03-03,In Progress
"Street Lighting Issue at Ward 7, Central Zone - 401","Complaint regarding street lighting in Ward 7, Central Zone.",Street Lighting,Electricity Board,"New street light poles installed but not connected in Ward 7, Central Zone.","Ward 7, Central Zone",Low,None,Assigned to Electricity Board team.,2026-02-06,New
"Waste Management Issue at Sector 16, Heritage Colony - 221","Complaint regarding waste management in Sector 16, Heritage Colony.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,None,Assigned to Sanitation Department team.,2025-09-16,Escalated
"Waste Management Issue at Garden City, Phase 5 - 765","Complaint regarding waste management in Garden City, Phase 5.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Garden City, Phase 5 for a week.","Garden City, Phase 5",Medium,None,Assigned to Sanitation Department team.,2025-05-06,Escalated
"Education Issue at Sector 16, Heritage Colony - 836","Complaint regarding education in Sector 16, Heritage Colony.",Education,Education Department,"Shortage of teaching staff for 22 semesters in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,None,Assigned to Education Department team.,2026-01-04,Escalated
"Sanitation Issue at Ward 7, Central Zone - 380","Complaint regarding sanitation in Ward 7, Central Zone.",Sanitation,Health & Family Welfare,"Sewage overflow reported in the back alley of Ward 7, Central Zone.","Ward 7, Central Zone",Medium,None,Assigned to Health & Family Welfare team.,2025-09-27,In Progress
"Public Safety Issue at Sector 15, Heritage Colony - 391","Complaint regarding public safety in Sector 15, Heritage Colony.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-05-12,New
"Sanitation Issue at Ward 8, Central Zone - 235","Complaint regarding sanitation in Ward 8, Central Zone.",Sanitation,Health & Family Welfare,"Public toilets in Ward 8, Central Zone are extremely dirty and unusable.","Ward 8, Central Zone",Medium,None,Assigned to Health & Family Welfare team.,2025-04-30,Escalated
"Public Safety Issue at Garden City, Phase 2 - 705","Complaint regarding public safety in Garden City, Phase 2.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Garden City, Phase 2.","Garden City, Phase 2",Medium,None,Assigned to Municipal Corporation team.,2025-10-25,In Progress
"Public Safety Issue at Sector 14, Heritage Colony - 144","Complaint regarding public safety in Sector 14, Heritage Colony.",Public Safety,Police Department,"Illegal parking blocking emergency exits in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",High,None,Assigned to Police Department team.,2025-06-08,Escalated
"Water Supply Issue at Sector 10, Heritage Colony - 498","Complaint regarding water supply in Sector 10, Heritage Colony.",Water Supply,Municipal Corporation,"Low pressure water being received at Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Medium,evidence_49.jpg,Assigned to Municipal Corporation team.,2025-09-03,In Progress
"Healthcare Issue at Sector 12, Heritage Colony - 961","Complaint regarding healthcare in Sector 12, Heritage Colony.",Healthcare,Health & Family Welfare,"Government clinic in Sector 12, Heritage Colony lacks basic medicines.","Sector 12, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-11-30,In Progress
"Education Issue at Ward 5, Central Zone - 605","Complaint regarding education in Ward 5, Central Zone.",Education,Urban Development Authority,"Shortage of teaching staff for 8 semesters in Ward 5, Central Zone.","Ward 5, Central Zone",High,evidence_51.jpg,Assigned to Urban Development Authority team.,2025-12-31,New
"Education Issue at Ward 2, Central Zone - 553","Complaint regarding education in Ward 2, Central Zone.",Education,Urban Development Authority,"Illegal encroachments near the playground of Ward 2, Central Zone school.","Ward 2, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2026-01-09,Resolved
"Healthcare Issue at Ward 8, Central Zone - 551","Complaint regarding healthcare in Ward 8, Central Zone.",Healthcare,Health & Family Welfare,"Government clinic in Ward 8, Central Zone lacks basic medicines.","Ward 8, Central Zone",Low,evidence_53.jpg,Assigned to Health & Family Welfare team.,2025-05-04,Resolved
"Water Supply Issue at Sector 10, Heritage Colony - 200","Complaint regarding water supply in Sector 10, Heritage Colony.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Sector 10, Heritage Colony.","Sector 10, Heritage Colony",High,evidence_54.jpg,Assigned to Public Works Department (PWD) team.,2025-03-12,Resolved
"Education Issue at Sector 10, Heritage Colony - 768","Complaint regarding education in Sector 10, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 57 semesters in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Medium,None,Assigned to Urban Development Authority team.,2025-05-28,In Progress
"Water Supply Issue at Sector 11, Heritage Colony - 608","Complaint regarding water supply in Sector 11, Heritage Colony.",Water Supply,Municipal Corporation,"No water supply for the last 28 days in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",High,evidence_56.jpg,Assigned to Municipal Corporation team.,2025-06-30,In Progress
"Roads & Infrastructure Issue at Ward 1, Central Zone - 289","Complaint regarding roads & infrastructure in Ward 1, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Road construction halted for 13 months in Ward 1, Central Zone.","Ward 1, Central Zone",Low,evidence_57.jpg,Assigned to Urban Development Authority team.,2025-09-18,New
"Healthcare Issue at Sector 15, Heritage Colony - 205","Complaint regarding healthcare in Sector 15, Heritage Colony.",Healthcare,Health & Family Welfare,"Unsanitary conditions in the ward area of Sector 15, Heritage Colony hospital.","Sector 15, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-11-13,Resolved
"Electricity Issue at Sector 17, Heritage Colony - 900","Complaint regarding electricity in Sector 17, Heritage Colony.",Electricity,Urban Development Authority,"Street pole spark observed near Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2026-01-21,Resolved
"Drainage Issue at Garden City, Phase 5 - 280","Complaint regarding drainage in Garden City, Phase 5.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Garden City, Phase 5.","Garden City, Phase 5",Urgent,evidence_60.jpg,Assigned to Public Works Department (PWD) team.,2025-11-19,Resolved
"Waste Management Issue at Sector 10, Heritage Colony - 560","Complaint regarding waste management in Sector 10, Heritage Colony.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Urgent,None,Assigned to Sanitation Department team.,2025-06-03,Resolved
"Water Supply Issue at Sector 10, Heritage Colony - 121","Complaint regarding water supply in Sector 10, Heritage Colony.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Sector 10, Heritage Colony.","Sector 10, Heritage Colony",High,None,Assigned to Public Works Department (PWD) team.,2025-10-02,Escalated
"Drainage Issue at Garden City, Phase 5 - 198","Complaint regarding drainage in Garden City, Phase 5.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Garden City, Phase 5.","Garden City, Phase 5",High,None,Assigned to Municipal Corporation team.,2025-04-10,Escalated
"Sanitation Issue at Sector 19, Heritage Colony - 891","Complaint regarding sanitation in Sector 19, Heritage Colony.",Sanitation,Health & Family Welfare,"Public toilets in Sector 19, Heritage Colony are extremely dirty and unusable.","Sector 19, Heritage Colony",Low,None,Assigned to Health & Family Welfare team.,2025-03-31,In Progress
"Drainage Issue at Sector 16, Heritage Colony - 107","Complaint regarding drainage in Sector 16, Heritage Colony.",Drainage,Municipal Corporation,"Stinking smell from the open drain in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,evidence_65.jpg,Assigned to Municipal Corporation team.,2026-02-14,New
"Electricity Issue at Ward 9, Central Zone - 701","Complaint regarding electricity in Ward 9, Central Zone.",Electricity,Electricity Board,"Electricity bill incorrectly calculated for Ward 9, Central Zone.","Ward 9, Central Zone",Urgent,None,Assigned to Electricity Board team.,2025-08-19,New
"Street Lighting Issue at Garden City, Phase 5 - 258","Complaint regarding street lighting in Garden City, Phase 5.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Garden City, Phase 5.","Garden City, Phase 5",Medium,evidence_67.jpg,Assigned to Municipal Corporation team.,2025-12-28,In Progress
"Water Supply Issue at Garden City, Phase 5 - 412","Complaint regarding water supply in Garden City, Phase 5.",Water Supply,Public Works Department (PWD),"Continuous leakage in the main pipeline near Garden City, Phase 5.","Garden City, Phase 5",High,None,Assigned to Public Works Department (PWD) team.,2026-01-23,Resolved
"Public Safety Issue at Ward 1, Central Zone - 324","Complaint regarding public safety in Ward 1, Central Zone.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Ward 1, Central Zone.","Ward 1, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-03-11,Resolved
"Healthcare Issue at Ward 3, Central Zone - 131","Complaint regarding healthcare in Ward 3, Central Zone.",Healthcare,Health & Family Welfare,"Emergency ambulance delayed by 49 hours for Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Health & Family Welfare team.,2025-10-03,New
"Drainage Issue at Ward 8, Central Zone - 569","Complaint regarding drainage in Ward 8, Central Zone.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Ward 8, Central Zone.","Ward 8, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-11-08,Escalated
"Public Safety Issue at Ward 7, Central Zone - 982","Complaint regarding public safety in Ward 7, Central Zone.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Ward 7, Central Zone.","Ward 7, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-09-02,In Progress
"Waste Management Issue at Garden City, Phase 5 - 338","Complaint regarding waste management in Garden City, Phase 5.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Garden City, Phase 5.","Garden City, Phase 5",Urgent,None,Assigned to Sanitation Department team.,2025-10-23,In Progress
"Education Issue at Sector 14, Heritage Colony - 710","Complaint regarding education in Sector 14, Heritage Colony.",Education,Education Department,"School building in Sector 14, Heritage Colony needs urgent structural repairs.","Sector 14, Heritage Colony",Urgent,evidence_74.jpg,Assigned to Education Department team.,2026-01-28,Escalated
"Waste Management Issue at Sector 12, Heritage Colony - 769","Complaint regarding waste management in Sector 12, Heritage Colony.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Medium,evidence_75.jpg,Assigned to Sanitation Department team.,2025-12-30,In Progress
"Waste Management Issue at Garden City, Phase 3 - 949","Complaint regarding waste management in Garden City, Phase 3.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Garden City, Phase 3.","Garden City, Phase 3",Low,None,Assigned to Municipal Corporation team.,2026-02-28,In Progress
"Public Safety Issue at Ward 10, Central Zone - 953","Complaint regarding public safety in Ward 10, Central Zone.",Public Safety,Police Department,"Stray animal menace in the parks of Ward 10, Central Zone.","Ward 10, Central Zone",Medium,None,Assigned to Police Department team.,2025-04-22,In Progress
"Drainage Issue at Ward 2, Central Zone - 726","Complaint regarding drainage in Ward 2, Central Zone.",Drainage,Public Works Department (PWD),"Main drain choked with plastic waste near Ward 2, Central Zone.","Ward 2, Central Zone",High,evidence_78.jpg,Assigned to Public Works Department (PWD) team.,2025-09-19,In Progress
"Healthcare Issue at Garden City, Phase 3 - 588","Complaint regarding healthcare in Garden City, Phase 3.",Healthcare,Municipal Corporation,"Unsanitary conditions in the ward area of Garden City, Phase 3 hospital.","Garden City, Phase 3",Low,None,Assigned to Municipal Corporation team.,2025-03-28,Resolved
"Waste Management Issue at Ward 5, Central Zone - 819","Complaint regarding waste management in Ward 5, Central Zone.",Waste Management,Municipal Corporation,"Illegal burning of waste in the open area of Ward 5, Central Zone.","Ward 5, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-07-29,Escalated
"Street Lighting Issue at Garden City, Phase 3 - 911","Complaint regarding street lighting in Garden City, Phase 3.",Street Lighting,Electricity Board,"Street lights not working for 47 nights in Garden City, Phase 3.","Garden City, Phase 3",Medium,evidence_81.jpg,Assigned to Electricity Board team.,2025-08-16,New
"Waste Management Issue at Garden City, Phase 5 - 293","Complaint regarding waste management in Garden City, Phase 5.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Garden City, Phase 5.","Garden City, Phase 5",Urgent,evidence_82.jpg,Assigned to Sanitation Department team.,2025-10-05,In Progress
"Waste Management Issue at Sector 15, Heritage Colony - 446","Complaint regarding waste management in Sector 15, Heritage Colony.",Waste Management,Sanitation Department,"Illegal burning of waste in the open area of Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Medium,None,Assigned to Sanitation Department team.,2025-04-11,Escalated
"Public Safety Issue at Ward 4, Central Zone - 990","Complaint regarding public safety in Ward 4, Central Zone.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Ward 4, Central Zone after 9 PM.","Ward 4, Central Zone",Medium,evidence_84.jpg,Assigned to Municipal Corporation team.,2025-09-10,In Progress
"Roads & Infrastructure Issue at Garden City, Phase 3 - 406","Complaint regarding roads & infrastructure in Garden City, Phase 3.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Garden City, Phase 3.","Garden City, Phase 3",High,evidence_85.jpg,Assigned to Urban Development Authority team.,2025-03-25,New
"Education Issue at Sector 13, Heritage Colony - 190","Complaint regarding education in Sector 13, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 50 semesters in Sector 13, Heritage Colony.","Sector 13, Heritage Colony",High,evidence_86.jpg,Assigned to Urban Development Authority team.,2026-02-20,Resolved
"Healthcare Issue at Sector 18, Heritage Colony - 209","Complaint regarding healthcare in Sector 18, Heritage Colony.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Sector 18, Heritage Colony PHC.","Sector 18, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-08-21,New
"Education Issue at Garden City, Phase 5 - 614","Complaint regarding education in Garden City, Phase 5.",Education,Urban Development Authority,"Illegal encroachments near the playground of Garden City, Phase 5 school.","Garden City, Phase 5",Urgent,None,Assigned to Urban Development Authority team.,2026-02-14,Escalated
"Education Issue at Ward 1, Central Zone - 577","Complaint regarding education in Ward 1, Central Zone.",Education,Education Department,"Lack of pure drinking water facilities in Ward 1, Central Zone primary school.","Ward 1, Central Zone",High,None,Assigned to Education Department team.,2025-10-22,New
"Electricity Issue at Ward 7, Central Zone - 583","Complaint regarding electricity in Ward 7, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 7, Central Zone.","Ward 7, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-03-28,In Progress
"Public Safety Issue at Sector 14, Heritage Colony - 574","Complaint regarding public safety in Sector 14, Heritage Colony.",Public Safety,Municipal Corporation,"Stray animal menace in the parks of Sector 14, Heritage Colony.","Sector 14, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-06-11,Resolved
"Street Lighting Issue at Garden City, Phase 5 - 189","Complaint regarding street lighting in Garden City, Phase 5.",Street Lighting,Electricity Board,"Flickering street light causing disturbance in Garden City, Phase 5.","Garden City, Phase 5",Low,evidence_92.jpg,Assigned to Electricity Board team.,2025-03-10,New
"Roads & Infrastructure Issue at Sector 12, Heritage Colony - 864","Complaint regarding roads & infrastructure in Sector 12, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Street pavement broken near Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Medium,evidence_93.jpg,Assigned to Public Works Department (PWD) team.,2026-02-16,New
"Education Issue at Ward 6, Central Zone - 523","Complaint regarding education in Ward 6, Central Zone.",Education,Education Department,"Shortage of teaching staff for 48 semesters in Ward 6, Central Zone.","Ward 6, Central Zone",High,None,Assigned to Education Department team.,2025-09-14,Escalated
"Sanitation Issue at Sector 12, Heritage Colony - 882","Complaint regarding sanitation in Sector 12, Heritage Colony.",Sanitation,Municipal Corporation,"Public toilets in Sector 12, Heritage Colony are extremely dirty and unusable.","Sector 12, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-10-31,In Progress
"Education Issue at Garden City, Phase 2 - 550","Complaint regarding education in Garden City, Phase 2.",Education,Urban Development Authority,"Shortage of teaching staff for 17 semesters in Garden City, Phase 2.","Garden City, Phase 2",High,None,Assigned to Urban Development Authority team.,2026-02-18,Escalated
"Roads & Infrastructure Issue at Ward 3, Central Zone - 582","Complaint regarding roads & infrastructure in Ward 3, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Ward 3, Central Zone.","Ward 3, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-06-16,Resolved
