id,Grievance Title,Detailed Description,Category,Priority Level,Location / Ward No,Department,Status,Date Submitted,Predicted Category,Predicted Priority,Confidence Score,Attachment Name,Internal Notes
SYN-387AE165,"Waste Management Issue at Ward 4, Central Zone - 605","Garbage collection truck hasn't visited Ward 4, Central Zone for a week.",Waste Management,Urgent,"Ward 4, Central Zone",Municipal Corporation,In Progress,2025-11-10,Waste Management,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-EDC9BC7D,"Sanitation Issue at Ward 9, Central Zone - 673","Drainage blockage causing water logging in Ward 9, Central Zone.",Sanitation,Low,"Ward 9, Central Zone",Health & Family Welfare,Resolved,2025-06-30,Sanitation,Low,0.9,evidence_17.jpg,Assigned to Health & Family Welfare team.
SYN-EF0ACF89,"Waste Management Issue at Garden City, Phase 3 - 127","Illegal burning of waste in the open area of Garden City, Phase 3.",Waste Management,Urgent,"Garden City, Phase 3",Sanitation Department,New,2025-09-30,Waste Management,Urgent,0.9,evidence_18.jpg,Assigned to Sanitation Department team.
SYN-84D2FB00,"Waste Management Issue at Garden City, Phase 3 - 539","Illegal burning of waste in the open area of Garden City, Phase 3.",Waste Management,Medium,"Garden City, Phase 3",Sanitation Department,Resolved,2025-12-01,Waste Management,Medium,0.9,nan,Assigned to Sanitation Department team.
SYN-8693DDBF,"Roads & Infrastructure Issue at Garden City, Phase 4 - 780","Street pavement broken near Garden City, Phase 4.",Roads & Infrastructure,Medium,"Garden City, Phase 4",Public Works Department (PWD),Escalated,2025-03-24,Roads & Infrastructure,Medium,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-5A8B00AB,"Electricity Issue at Ward 3, Central Zone - 126","Electricity bill incorrectly calculated for Ward 3, Central Zone.",Electricity,Low,"Ward 3, Central Zone",Urban Development Authority,Resolved,2026-02-07,Electricity,Low,0.9,nan,Assigned to Urban Development Authority team.
SYN-804F8052,"Waste Management Issue at Garden City, Phase 3 - 993","Open garbage bin overflowing and spreading disease in Garden City, Phase 3.",Waste Management,High,"Garden City, Phase 3",Municipal Corporation,New,2025-08-07,Waste Management,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-0889E484,"Roads & Infrastructure Issue at Sector 16, Heritage Colony - 164","Illegal speed breaker installed at Sector 16, Heritage Colony.",Roads & Infrastructure,High,"Sector 16, Heritage Colony",Urban Development Authority,New,2025-07-20,Roads & Infrastructure,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-09A0C04F,"Education Issue at Ward 8, Central Zone - 226","Lack of pure drinking water facilities in Ward 8, Central Zone primary school.",Education,Low,"Ward 8, Central Zone",Education Department,Escalated,2025-07-20,Education,Low,0.9,nan,Assigned to Education Department team.
SYN-0E8AD306,"Electricity Issue at Sector 16, Heritage Colony - 965","Frequent power cuts without notice in Sector 16, Heritage Colony.",Electricity,High,"Sector 16, Heritage Colony",Electricity Board,Resolved,2025-03-08,Electricity,High,0.9,nan,Assigned to Electricity Board team.
SYN-94372C05,"Public Safety Issue at Sector 18, Heritage Colony - 944","Increase in petty thefts reported in Sector 18, Heritage Colony after 9 PM.",Public Safety,High,"Sector 18, Heritage Colony",Municipal Corporation,In Progress,2025-11-12,Public Safety,High,0.9,evidence_26.jpg,Assigned to Municipal Corporation team.
SYN-E6EB5809,"Education Issue at Ward 3, Central Zone - 780","Illegal encroachments near the playground of Ward 3, Central Zone school.",Education,Medium,"Ward 3, Central Zone",Urban Development Authority,New,2025-04-20,Education,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-0F4C7229,"Public Safety Issue at Ward 7, Central Zone - 425","Illegal parking blocking emergency exits in Ward 7, Central Zone.",Public Safety,Urgent,"Ward 7, Central Zone",Municipal Corporation,In Progress,2026-01-28,Public Safety,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-A8A61C64,"Roads & Infrastructure Issue at Ward 1, Central Zone - 218","Major potholes on the main road of Ward 1, Central Zone.",Roads & Infrastructure,Medium,"Ward 1, Central Zone",Public Works Department (PWD),In Progress,2026-01-09,Roads & Infrastructure,Medium,0.9,evidence_29.jpg,Assigned to Public Works Department (PWD) team.
SYN-9B5C099F,"Street Lighting Issue at Ward 3, Central Zone - 313","Street lights not working for 37 nights in Ward 3, Central Zone.",Street Lighting,Low,"Ward 3, Central Zone",Electricity Board,New,2025-12-09,Street Lighting,Low,0.9,nan,Assigned to Electricity Board team.
SYN-711B1905,"Water Supply Issue at Garden City, Phase 3 - 796","Contaminated water with foul smell reported at Garden City, Phase 3.",Water Supply,High,"Garden City, Phase 3",Public Works Department (PWD),Resolved,2025-06-10,Water Supply,High,0.9,evidence_31.jpg,Assigned to Public Works Department (PWD) team.
SYN-C183CD1C,"Public Safety Issue at Sector 15, Heritage Colony - 480","Illegal parking blocking emergency exits in Sector 15, Heritage Colony.",Public Safety,Urgent,"Sector 15, Heritage Colony",Municipal Corporation,Escalated,2025-06-25,Public Safety,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-70266648,"Roads & Infrastructure Issue at Sector 11, Heritage Colony - 194","Street pavement broken near Sector 11, Heritage Colony.",Roads & Infrastructure,High,"Sector 11, Heritage Colony",Urban Development Authority,In Progress,2025-05-30,Roads & Infrastructure,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-48E099B0,"Electricity Issue at Ward 1, Central Zone - 928","High voltage fluctuations causing damage to appliances in Ward 1, Central Zone.",Electricity,Medium,"Ward 1, Central Zone",Electricity Board,Resolved,2025-09-14,Electricity,Medium,0.9,evidence_34.jpg,Assigned to Electricity Board team.
SYN-93242403,"Street Lighting Issue at Sector 13, Heritage Colony - 884","Street lights not working for 40 nights in Sector 13, Heritage Colony.",Street Lighting,High,"Sector 13, Heritage Colony",Municipal Corporation,Resolved,2025-09-02,Street Lighting,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-A5F002A3,"Electricity Issue at Sector 18, Heritage Colony - 339","Frequent power cuts without notice in Sector 18, Heritage Colony.",Electricity,Low,"Sector 18, Heritage Colony",Urban Development Authority,Escalated,2025-10-29,Electricity,Low,0.9,evidence_36.jpg,Assigned to Urban Development Authority team.
SYN-A3D00020,"Drainage Issue at Garden City, Phase 1 - 291","Stinking smell from the open drain in Garden City, Phase 1.",Drainage,Low,"Garden City, Phase 1",Municipal Corporation,New,2025-12-22,Drainage,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-A89139BE,"Healthcare Issue at Sector 16, Heritage Colony - 554","Unsanitary conditions in the ward area of Sector 16, Heritage Colony hospital.",Healthcare,Urgent,"Sector 16, Heritage Colony",Municipal Corporation,In Progress,2025-07-22,Healthcare,Urgent,0.9,evidence_38.jpg,Assigned to Municipal Corporation team.
SYN-D565A71A,"Water Supply Issue at Sector 19, Heritage Colony - 585","Low pressure water being received at Sector 19, Heritage Colony.",Water Supply,Urgent,"Sector 19, Heritage Colony",Public Works Department (PWD),In Progress,2026-03-03,Water Supply,Urgent,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-0AB258C2,"Street Lighting Issue at Ward 7, Central Zone - 401","New street light poles installed but not connected in Ward 7, Central Zone.",Street Lighting,Low,"Ward 7, Central Zone",Electricity Board,New,2026-02-06,Street Lighting,Low,0.9,nan,Assigned to Electricity Board team.
SYN-ADB276C3,"Waste Management Issue at Sector 16, Heritage Colony - 221","Open garbage bin overflowing and spreading disease in Sector 16, Heritage Colony.",Waste Management,Medium,"Sector 16, Heritage Colony",Sanitation Department,Escalated,2025-09-16,Waste Management,Medium,0.9,nan,Assigned to Sanitation Department team.
SYN-CD89AB07,"Waste Management Issue at Garden City, Phase 5 - 765","Garbage collection truck hasn't visited Garden City, Phase 5 for a week.",Waste Management,Medium,"Garden City, Phase 5",Sanitation Department,Escalated,2025-05-06,Waste Management,Medium,0.9,nan,Assigned to Sanitation Department team.
SYN-7D6416CE,"Education Issue at Sector 16, Heritage Colony - 836","Shortage of teaching staff for 22 semesters in Sector 16, Heritage Colony.",Education,Low,"Sector 16, Heritage Colony",Education Department,Escalated,2026-01-04,Education,Low,0.9,nan,Assigned to Education Department team.
SYN-D2F413AE,"Sanitation Issue at Ward 7, Central Zone - 380","Sewage overflow reported in the back alley of Ward 7, Central Zone.",Sanitation,Medium,"Ward 7, Central Zone",Health & Family Welfare,In Progress,2025-09-27,Sanitation,Medium,0.9,nan,Assigned to Health & Family Welfare team.
SYN-BA1083E3,"Public Safety Issue at Sector 15, Heritage Colony - 391","Illegal parking blocking emergency exits in Sector 15, Heritage Colony.",Public Safety,Urgent,"Sector 15, Heritage Colony",Municipal Corporation,New,2025-05-12,Public Safety,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-A242F2E4,"Sanitation Issue at Ward 8, Central Zone - 235","Public toilets in Ward 8, Central Zone are extremely dirty and unusable.",Sanitation,Medium,"Ward 8, Central Zone",Health & Family Welfare,Escalated,2025-04-30,Sanitation,Medium,0.9,nan,Assigned to Health & Family Welfare team.
SYN-F4EA4A69,"Public Safety Issue at Garden City, Phase 2 - 705","Lack of police patrolling observed during night in Garden City, Phase 2.",Public Safety,Medium,"Garden City, Phase 2",Municipal Corporation,In Progress,2025-10-25,Public Safety,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-2165939A,"Public Safety Issue at Sector 14, Heritage Colony - 144","Illegal parking blocking emergency exits in Sector 14, Heritage Colony.",Public Safety,High,"Sector 14, Heritage Colony",Police Department,Escalated,2025-06-08,Public Safety,High,0.9,nan,Assigned to Police Department team.
SYN-D015DC63,"Water Supply Issue at Sector 10, Heritage Colony - 498","Low pressure water being received at Sector 10, Heritage Colony.",Water Supply,Medium,"Sector 10, Heritage Colony",Municipal Corporation,In Progress,2025-09-03,Water Supply,Medium,0.9,evidence_49.jpg,Assigned to Municipal Corporation team.
SYN-B8E52E14,"Healthcare Issue at Sector 12, Heritage Colony - 961","Government clinic in Sector 12, Heritage Colony lacks basic medicines.",Healthcare,Urgent,"Sector 12, Heritage Colony",Health & Family Welfare,In Progress,2025-11-30,Healthcare,Urgent,0.9,nan,Assigned to Health & Family Welfare team.
SYN-967D6409,"Education Issue at Ward 5, Central Zone - 605","Shortage of teaching staff for 8 semesters in Ward 5, Central Zone.",Education,High,"Ward 5, Central Zone",Urban Development Authority,New,2025-12-31,Education,High,0.9,evidence_51.jpg,Assigned to Urban Development Authority team.
SYN-230A87A1,"Education Issue at Ward 2, Central Zone - 553","Illegal encroachments near the playground of Ward 2, Central Zone school.",Education,Medium,"Ward 2, Central Zone",Urban Development Authority,Resolved,2026-01-09,Education,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-FAD537A0,"Healthcare Issue at Ward 8, Central Zone - 551","Government clinic in Ward 8, Central Zone lacks basic medicines.",Healthcare,Low,"Ward 8, Central Zone",Health & Family Welfare,Resolved,2025-05-04,Healthcare,Low,0.9,evidence_53.jpg,Assigned to Health & Family Welfare team.
SYN-9D6BEC4D,"Water Supply Issue at Sector 10, Heritage Colony - 200","Continuous leakage in the main pipeline near Sector 10, Heritage Colony.",Water Supply,High,"Sector 10, Heritage Colony",Public Works Department (PWD),Resolved,2025-03-12,Water Supply,High,0.9,evidence_54.jpg,Assigned to Public Works Department (PWD) team.
SYN-02715552,"Education Issue at Sector 10, Heritage Colony - 768","Shortage of teaching staff for 57 semesters in Sector 10, Heritage Colony.",Education,Medium,"Sector 10, Heritage Colony",Urban Development Authority,In Progress,2025-05-28,Education,Medium,0.9,nan,Assigned to Urban Development Authority team.
SYN-E8B1CCC4,"Water Supply Issue at Sector 11, Heritage Colony - 608","No water supply for the last 28 days in Sector 11, Heritage Colony.",Water Supply,High,"Sector 11, Heritage Colony",Municipal Corporation,In Progress,2025-06-30,Water Supply,High,0.9,evidence_56.jpg,Assigned to Municipal Corporation team.
SYN-794410DD,"Roads & Infrastructure Issue at Ward 1, Central Zone - 289","Road construction halted for 13 months in Ward 1, Central Zone.",Roads & Infrastructure,Low,"Ward 1, Central Zone",Urban Development Authority,New,2025-09-18,Roads & Infrastructure,Low,0.9,evidence_57.jpg,Assigned to Urban Development Authority team.
SYN-00EC4605,"Healthcare Issue at Sector 15, Heritage Colony - 205","Unsanitary conditions in the ward area of Sector 15, Heritage Colony hospital.",Healthcare,Urgent,"Sector 15, Heritage Colony",Health & Family Welfare,Resolved,2025-11-13,Healthcare,Urgent,0.9,nan,Assigned to Health & Family Welfare team.
SYN-76D13F85,"Electricity Issue at Sector 17, Heritage Colony - 900","Street pole spark observed near Sector 17, Heritage Colony.",Electricity,Urgent,"Sector 17, Heritage Colony",Urban Development Authority,Resolved,2026-01-21,Electricity,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-96651F51,"Drainage Issue at Garden City, Phase 5 - 280","Drain cover missing, posing a risk to children in Garden City, Phase 5.",Drainage,Urgent,"Garden City, Phase 5",Public Works Department (PWD),Resolved,2025-11-19,Drainage,Urgent,0.9,evidence_60.jpg,Assigned to Public Works Department (PWD) team.
SYN-1AD9E04D,"Waste Management Issue at Sector 10, Heritage Colony - 560","Illegal burning of waste in the open area of Sector 10, Heritage Colony.",Waste Management,Urgent,"Sector 10, Heritage Colony",Sanitation Department,Resolved,2025-06-03,Waste Management,Urgent,0.9,nan,Assigned to Sanitation Department team.
SYN-05126148,"Water Supply Issue at Sector 10, Heritage Colony - 121","Continuous leakage in the main pipeline near Sector 10, Heritage Colony.",Water Supply,High,"Sector 10, Heritage Colony",Public Works Department (PWD),Escalated,2025-10-02,Water Supply,High,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-D0A1443B,"Drainage Issue at Garden City, Phase 5 - 198","Stinking smell from the open drain in Garden City, Phase 5.",Drainage,High,"Garden City, Phase 5",Municipal Corporation,Escalated,2025-04-10,Drainage,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-DE4CE93F,"Sanitation Issue at Sector 19, Heritage Colony - 891","Public toilets in Sector 19, Heritage Colony are extremely dirty and unusable.",Sanitation,Low,"Sector 19, Heritage Colony",Health & Family Welfare,In Progress,2025-03-31,Sanitation,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-BAA27658,"Drainage Issue at Sector 16, Heritage Colony - 107","Stinking smell from the open drain in Sector 16, Heritage Colony.",Drainage,Low,"Sector 16, Heritage Colony",Municipal Corporation,New,2026-02-14,Drainage,Low,0.9,evidence_65.jpg,Assigned to Municipal Corporation team.
SYN-438D85A0,"Electricity Issue at Ward 9, Central Zone - 701","Electricity bill incorrectly calculated for Ward 9, Central Zone.",Electricity,Urgent,"Ward 9, Central Zone",Electricity Board,New,2025-08-19,Electricity,Urgent,0.9,nan,Assigned to Electricity Board team.
SYN-A5977D94,"Street Lighting Issue at Garden City, Phase 5 - 258","Flickering street light causing disturbance in Garden City, Phase 5.",Street Lighting,Medium,"Garden City, Phase 5",Municipal Corporation,In Progress,2025-12-28,Street Lighting,Medium,0.9,evidence_67.jpg,Assigned to Municipal Corporation team.
SYN-FA2861C4,"Water Supply Issue at Garden City, Phase 5 - 412","Continuous leakage in the main pipeline near Garden City, Phase 5.",Water Supply,High,"Garden City, Phase 5",Public Works Department (PWD),Resolved,2026-01-23,Water Supply,High,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-03AC05B8,"Public Safety Issue at Ward 1, Central Zone - 324","Lack of police patrolling observed during night in Ward 1, Central Zone.",Public Safety,Low,"Ward 1, Central Zone",Municipal Corporation,Resolved,2025-03-11,Public Safety,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-466908DE,"Healthcare Issue at Ward 3, Central Zone - 131","Emergency ambulance delayed by 49 hours for Ward 3, Central Zone.",Healthcare,Low,"Ward 3, Central Zone",Health & Family Welfare,New,2025-10-03,Healthcare,Low,0.9,nan,Assigned to Health & Family Welfare team.
SYN-DE9A2AD8,"Drainage Issue at Ward 8, Central Zone - 569","Main drain choked with plastic waste near Ward 8, Central Zone.",Drainage,High,"Ward 8, Central Zone",Municipal Corporation,Escalated,2025-11-08,Drainage,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-17FACCBB,"Public Safety Issue at Ward 7, Central Zone - 982","Lack of police patrolling observed during night in Ward 7, Central Zone.",Public Safety,Urgent,"Ward 7, Central Zone",Municipal Corporation,In Progress,2025-09-02,Public Safety,Urgent,0.9,nan,Assigned to Municipal Corporation team.
SYN-FF9BBF07,"Waste Management Issue at Garden City, Phase 5 - 338","Illegal burning of waste in the open area of Garden City, Phase 5.",Waste Management,Urgent,"Garden City, Phase 5",Sanitation Department,In Progress,2025-10-23,Waste Management,Urgent,0.9,nan,Assigned to Sanitation Department team.
SYN-49F62593,"Education Issue at Sector 14, Heritage Colony - 710","School building in Sector 14, Heritage Colony needs urgent structural repairs.",Education,Urgent,"Sector 14, Heritage Colony",Education Department,Escalated,2026-01-28,Education,Urgent,0.9,evidence_74.jpg,Assigned to Education Department team.
SYN-D320D88A,"Waste Management Issue at Sector 12, Heritage Colony - 769","Open garbage bin overflowing and spreading disease in Sector 12, Heritage Colony.",Waste Management,Medium,"Sector 12, Heritage Colony",Sanitation Department,In Progress,2025-12-30,Waste Management,Medium,0.9,evidence_75.jpg,Assigned to Sanitation Department team.
SYN-20D588C8,"Waste Management Issue at Garden City, Phase 3 - 949","Open garbage bin overflowing and spreading disease in Garden City, Phase 3.",Waste Management,Low,"Garden City, Phase 3",Municipal Corporation,In Progress,2026-02-28,Waste Management,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-37656B7E,"Public Safety Issue at Ward 10, Central Zone - 953","Stray animal menace in the parks of Ward 10, Central Zone.",Public Safety,Medium,"Ward 10, Central Zone",Police Department,In Progress,2025-04-22,Public Safety,Medium,0.9,nan,Assigned to Police Department team.
SYN-812C7762,"Drainage Issue at Ward 2, Central Zone - 726","Main drain choked with plastic waste near Ward 2, Central Zone.",Drainage,High,"Ward 2, Central Zone",Public Works Department (PWD),In Progress,2025-09-19,Drainage,High,0.9,evidence_78.jpg,Assigned to Public Works Department (PWD) team.
SYN-F349E9FD,"Healthcare Issue at Garden City, Phase 3 - 588","Unsanitary conditions in the ward area of Garden City, Phase 3 hospital.",Healthcare,Low,"Garden City, Phase 3",Municipal Corporation,Resolved,2025-03-28,Healthcare,Low,0.9,nan,Assigned to Municipal Corporation team.
SYN-DD07C5E1,"Waste Management Issue at Ward 5, Central Zone - 819","Illegal burning of waste in the open area of Ward 5, Central Zone.",Waste Management,High,"Ward 5, Central Zone",Municipal Corporation,Escalated,2025-07-29,Waste Management,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-D0D69B7B,"Street Lighting Issue at Garden City, Phase 3 - 911","Street lights not working for 47 nights in Garden City, Phase 3.",Street Lighting,Medium,"Garden City, Phase 3",Electricity Board,New,2025-08-16,Street Lighting,Medium,0.9,evidence_81.jpg,Assigned to Electricity Board team.
SYN-88E42EB2,"Waste Management Issue at Garden City, Phase 5 - 293","Open garbage bin overflowing and spreading disease in Garden City, Phase 5.",Waste Management,Urgent,"Garden City, Phase 5",Sanitation Department,In Progress,2025-10-05,Waste Management,Urgent,0.9,evidence_82.jpg,Assigned to Sanitation Department team.
SYN-CE11A9F8,"Waste Management Issue at Sector 15, Heritage Colony - 446","Illegal burning of waste in the open area of Sector 15, Heritage Colony.",Waste Management,Medium,"Sector 15, Heritage Colony",Sanitation Department,Escalated,2025-04-11,Waste Management,Medium,0.9,nan,Assigned to Sanitation Department team.
SYN-7F488D5F,"Public Safety Issue at Ward 4, Central Zone - 990","Increase in petty thefts reported in Ward 4, Central Zone after 9 PM.",Public Safety,Medium,"Ward 4, Central Zone",Municipal Corporation,In Progress,2025-09-10,Public Safety,Medium,0.9,evidence_84.jpg,Assigned to Municipal Corporation team.
SYN-8DBA3BA7,"Roads & Infrastructure Issue at Garden City, Phase 3 - 406","Illegal speed breaker installed at Garden City, Phase 3.",Roads & Infrastructure,High,"Garden City, Phase 3",Urban Development Authority,New,2025-03-25,Roads & Infrastructure,High,0.9,evidence_85.jpg,Assigned to Urban Development Authority team.
SYN-829CFAC1,"Education Issue at Sector 13, Heritage Colony - 190","Shortage of teaching staff for 50 semesters in Sector 13, Heritage Colony.",Education,High,"Sector 13, Heritage Colony",Urban Development Authority,Resolved,2026-02-20,Education,High,0.9,evidence_86.jpg,Assigned to Urban Development Authority team.
SYN-ADAE19B7,"Healthcare Issue at Sector 18, Heritage Colony - 209","Long waiting hours and no doctors available in Sector 18, Heritage Colony PHC.",Healthcare,High,"Sector 18, Heritage Colony",Municipal Corporation,New,2025-08-21,Healthcare,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-829A0094,"Education Issue at Garden City, Phase 5 - 614","Illegal encroachments near the playground of Garden City, Phase 5 school.",Education,Urgent,"Garden City, Phase 5",Urban Development Authority,Escalated,2026-02-14,Education,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-17931AD1,"Education Issue at Ward 1, Central Zone - 577","Lack of pure drinking water facilities in Ward 1, Central Zone primary school.",Education,High,"Ward 1, Central Zone",Education Department,New,2025-10-22,Education,High,0.9,nan,Assigned to Education Department team.
SYN-63434A50,"Electricity Issue at Ward 7, Central Zone - 583","High voltage fluctuations causing damage to appliances in Ward 7, Central Zone.",Electricity,High,"Ward 7, Central Zone",Urban Development Authority,In Progress,2025-03-28,Electricity,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-CCAB66B1,"Public Safety Issue at Sector 14, Heritage Colony - 574","Stray animal menace in the parks of Sector 14, Heritage Colony.",Public Safety,High,"Sector 14, Heritage Colony",Municipal Corporation,Resolved,2025-06-11,Public Safety,High,0.9,nan,Assigned to Municipal Corporation team.
SYN-0010B863,"Street Lighting Issue at Garden City, Phase 5 - 189","Flickering street light causing disturbance in Garden City, Phase 5.",Street Lighting,Low,"Garden City, Phase 5",Electricity Board,New,2025-03-10,Street Lighting,Low,0.9,evidence_92.jpg,Assigned to Electricity Board team.
SYN-6DF326B3,"Roads & Infrastructure Issue at Sector 12, Heritage Colony - 864","Street pavement broken near Sector 12, Heritage Colony.",Roads & Infrastructure,Medium,"Sector 12, Heritage Colony",Public Works Department (PWD),New,2026-02-16,Roads & Infrastructure,Medium,0.9,evidence_93.jpg,Assigned to Public Works Department (PWD) team.
SYN-D471B887,"Education Issue at Ward 6, Central Zone - 523","Shortage of teaching staff for 48 semesters in Ward 6, Central Zone.",Education,High,"Ward 6, Central Zone",Education Department,Escalated,2025-09-14,Education,High,0.9,nan,Assigned to Education Department team.
SYN-35ECC10F,"Sanitation Issue at Sector 12, Heritage Colony - 882","Public toilets in Sector 12, Heritage Colony are extremely dirty and unusable.",Sanitation,Medium,"Sector 12, Heritage Colony",Municipal Corporation,In Progress,2025-10-31,Sanitation,Medium,0.9,nan,Assigned to Municipal Corporation team.
